Processing data...
PUT http://localhost:9200/mini_data_train_search/_doc/76 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/77 [status:201 duration:0.047s]
PUT http://localhost:9200/mini_data_train_search/_doc/78 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/79 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/80 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/81 [status:201 duration:0.041s]
PUT http://localhost:9200/mini_data_train_search/_doc/82 [status:201 duration:0.044s]
PUT http://localhost:9200/mini_data_train_search/_doc/83 [status:201 duration:0.029s]
PUT http://localhost:9200/mini_data_train_search/_doc/84 [status:201 duration:0.021s]
PUT http://localhost:9200/mini_data_train_search/_doc/85 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/86 [status:201 duration:0.047s]
PUT http://localhost:9200/mini_data_train_search/_doc/87 [status:201 duration:0.082s]
PUT http://localhost:9200/mini_data_train_search/_doc/88 [status:201 duration:0.047s]
PUT http://localhost:9200/mini_data_train_search/_doc/89 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/90 [status:201 duration:0.029s]
PUT http://localhost:9200/mini_data_train_search/_doc/91 [status:201 duration:0.060s]
PUT http://localhost:9200/mini_data_train_search/_doc/92 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/93 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/94 [status:201 duration:0.022s]
PUT http://localhost:9200/mini_data_train_search/_doc/95 [status:201 duration:0.031s]
PUT http://localhost:9200/mini_data_train_search/_doc/96 [status:201 duration:0.047s]
PUT http://localhost:9200/mini_data_train_search/_doc/97 [status:201 duration:0.038s]
PUT http://localhost:9200/mini_data_train_search/_doc/98 [status:201 duration:0.058s]
PUT http://localhost:9200/mini_data_train_search/_doc/99 [status:201 duration:0.017s]
PUT http://localhost:9200/mini_data_train_search/_doc/100 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/101 [status:201 duration:0.040s]
